arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,1.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,1.0
83,1.0
84,2.0
85,0.0
86,0.0
87,2.0
88,1.0
89,0.0
90,2.0
91,11.0
92,0.0
93,0.0
94,1.0
95,3.0
96,6.0
97,6.0
98,3.0
99,6.0
100,3.0
101,1.0
102,4.0
103,9.0
104,9.0
105,2.0
106,5.0
107,9.0
108,10.0
109,22.0
110,12.0
111,5.0
112,13.0
113,9.0
114,12.0
115,6.0
116,9.0
117,8.0
118,1.0
119,4.0
120,4.0
121,7.0
122,3.0
123,7.0
124,1.0
125,7.0
126,5.0
127,6.0
128,8.0
129,4.0
130,6.0
131,5.0
132,7.0
133,8.0
134,12.0
135,9.0
136,11.0
137,9.0
138,13.0
139,7.0
140,6.0
141,5.0
142,9.0
143,6.0
144,12.0
145,8.0
146,3.0
147,5.0
148,8.0
149,10.0
150,4.0
151,9.0
152,7.0
153,4.0
154,14.0
155,8.0
156,4.0
157,9.0
158,13.0
159,8.0
160,7.0
161,5.0
162,6.0
163,6.0
164,4.0
165,5.0
166,8.0
167,5.0
168,14.0
169,5.0
170,6.0
171,3.0
172,10.0
173,5.0
174,4.0
175,6.0
176,4.0
177,3.0
178,3.0
179,4.0
180,7.0
181,5.0
182,6.0
183,1.0
184,2.0
185,3.0
186,2.0
187,8.0
188,7.0
189,5.0
190,3.0
191,1.0
192,6.0
193,2.0
194,5.0
195,9.0
196,8.0
197,2.0
198,17.0
199,3.0
200,3.0
201,6.0
202,5.0
203,4.0
204,10.0
205,13.0
206,9.0
207,12.0
208,10.0
209,6.0
210,9.0
211,11.0
212,6.0
213,11.0
214,2.0
215,7.0
216,8.0
217,13.0
218,9.0
219,9.0
220,5.0
221,7.0
222,9.0
223,8.0
224,5.0
225,4.0
226,6.0
227,7.0
228,10.0
229,5.0
230,4.0
231,4.0
232,11.0
233,3.0
234,5.0
235,3.0
236,3.0
237,1.0
238,2.0
239,2.0
240,3.0
241,2.0
242,2.0
243,2.0
244,4.0
245,0.0
246,1.0
247,0.0
248,1.0
249,2.0
250,1.0
251,1.0
252,3.0
253,0.0
254,1.0
255,0.0
256,1.0
257,0.0
258,3.0
259,1.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,1.0
266,0.0
267,0.0
268,1.0
269,0.0
270,0.0
271,0.0
272,1.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
