soc,count,percent
0,2,0.1065
1,15,0.7987
2,10,0.5325
3,10,0.5325
4,8,0.426
5,16,0.852
6,15,0.7987
7,20,1.065
8,22,1.1715
9,24,1.278
10,27,1.4377
11,37,1.9702
12,30,1.5974
13,34,1.8104
14,27,1.4377
15,36,1.9169
16,48,2.5559
17,36,1.9169
18,36,1.9169
19,32,1.7039
20,41,2.1832
21,46,2.4494
22,40,2.1299
23,40,2.1299
24,37,1.9702
25,41,2.1832
26,45,2.3962
27,36,1.9169
28,36,1.9169
29,45,2.3962
30,40,2.1299
31,27,1.4377
32,43,2.2897
33,38,2.0234
34,38,2.0234
35,29,1.5442
36,27,1.4377
37,32,1.7039
38,31,1.6507
39,28,1.4909
40,33,1.7572
41,23,1.2247
42,26,1.3845
43,21,1.1182
44,36,1.9169
45,21,1.1182
46,26,1.3845
47,34,1.8104
48,28,1.4909
49,30,1.5974
50,30,1.5974
51,26,1.3845
52,17,0.9052
53,22,1.1715
54,19,1.0117
55,13,0.6922
56,16,0.852
57,20,1.065
58,10,0.5325
59,11,0.5857
60,6,0.3195
61,10,0.5325
62,6,0.3195
63,10,0.5325
64,14,0.7455
65,8,0.426
66,5,0.2662
67,4,0.213
68,14,0.7455
69,9,0.4792
70,8,0.426
71,4,0.213
72,11,0.5857
73,11,0.5857
74,7,0.3727
75,9,0.4792
76,6,0.3195
77,3,0.1597
78,5,0.2662
79,1,0.0532
80,5,0.2662
81,9,0.4792
82,0,0.0
83,3,0.1597
84,1,0.0532
85,3,0.1597
86,5,0.2662
87,4,0.213
88,1,0.0532
89,0,0.0
90,0,0.0
91,1,0.0532
92,2,0.1065
93,1,0.0532
94,1,0.0532
95,1,0.0532
96,0,0.0
97,2,0.1065
98,1,0.0532
99,0,0.0
100,0,0.0
